title,studio,year,production_budget,domestic_gross,worldwide_gross,foreign_gross,tconst
Life of the Party,WB (NL),2018,30000000.0,53059911.0,65759911.0,12700000.0,tt6897484
Adrift,STX,2018,35000000.0,31445011.0,57897191.0,26452180.0,tt2168766
Adrift,STX,2018,35000000.0,31445011.0,57897191.0,26452180.0,tt2408090
Adrift,STX,2018,35000000.0,31445011.0,57897191.0,26452180.0,tt4608626
Adrift,STX,2018,35000000.0,31445011.0,57897191.0,26452180.0,tt6306064
The 15:17 to Paris,WB,2018,30000000.0,36276286.0,56096200.0,19819914.0,tt6802308
Early Man,LGF,2018,50000000.0,8267544.0,45285890.0,37018346.0,tt4701724
Peppermint,STX,2018,25000000.0,35418723.0,51800758.0,16382035.0,tt6850820
Slender Man,SGem,2018,10000000.0,30564825.0,51723644.0,21158819.0,tt5690360
Slender Man,SGem,2018,10000000.0,30564825.0,51723644.0,21158819.0,tt5897302
Uncle Drew,LG/S,2018,18000000.0,42469946.0,46527161.0,4057215.0,tt7334528
Mary Queen of Scots,Focus,2018,25000000.0,16468499.0,46734733.0,30266234.0,tt1555069
Mary Queen of Scots,Focus,2018,25000000.0,16468499.0,46734733.0,30266234.0,tt2328900
The Possession of Hannah Grace,SGem,2018,6000000.0,14836174.0,42785387.0,27949213.0,tt5734576
The Darkest Minds,Fox,2018,34000000.0,12695691.0,38361428.0,25665737.0,tt4073790
On the Basis of Sex,Focus,2018,20000000.0,24622687.0,38073377.0,13450690.0,tt4669788
The Hate U Give,Fox,2018,23000000.0,29719483.0,35067665.0,5348182.0,tt5580266
Nobody's Fool,Par.,2018,19000000.0,31713110.0,32589493.0,876383.0,tt8097306
White Boy Rick,Studio 8,2018,30000000.0,24004833.0,25947983.0,1943150.0,tt4537896
Winchester,LGF,2018,3500000.0,25091816.0,44378040.0,19286224.0,tt1072748
"Paul, Apostle of Christ",Affirm,2018,5000000.0,17547999.0,25529498.0,7981499.0,tt7388562
Proud Mary,SGem,2018,30000000.0,20868638.0,21709539.0,840901.0,tt6421110
Superfly,Sony,2018,16000000.0,20537137.0,20723581.0,186444.0,tt7690670
If Beale Street Could Talk,Annapurna,2018,12000000.0,14915773.0,19859167.0,4943394.0,tt7125860
Hell Fest,LGF,2018,5500000.0,11107431.0,18119231.0,7011800.0,tt1999890
Unfriended: Dark Web,BH Tilt,2018,1000000.0,8866745.0,16434588.0,7567843.0,tt4761916
Upgrade,BH Tilt,2018,3000000.0,11977130.0,16553285.0,4576155.0,tt6499752
Upgrade,BH Tilt,2018,3000000.0,11977130.0,16553285.0,4576155.0,tt6739824
Unsane,BST,2018,1500000.0,7690044.0,14244931.0,6554887.0,tt7153766
The Sisters Brothers,Annapurna,2018,38000000.0,3143056.0,13143056.0,10000000.0,tt4971344
Welcome to Marwen,Uni.,2018,45000000.0,10763520.0,12874922.0,2111402.0,tt3289724
Hotel Artemis,Global Road,2018,15000000.0,6708137.0,12758799.0,6050662.0,tt5834262
Kin,LGF,2018,30000000.0,5718096.0,10096821.0,4378725.0,tt2233624
Kin,LGF,2018,30000000.0,5718096.0,10096821.0,4378725.0,tt6017942
Can You Ever Forgive Me?,FoxS,2018,10000000.0,8803865.0,11752387.0,2948522.0,tt4595882
Suspiria,Amazon,2018,20000000.0,2483472.0,7034615.0,4551143.0,tt1034415
The Hurricane Heist,ENTMP,2018,40000000.0,6115824.0,30963684.0,24847860.0,tt5360952
Destroyer,Annapurna,2018,9000000.0,1533324.0,3681096.0,2147772.0,tt7137380
Gotti,VE,2018,10000000.0,4286367.0,6089100.0,1802733.0,tt1801552
Bilal: A New Breed of Hero,VE,2018,30000000.0,490973.0,648599.0,157626.0,tt3576728
Mandy,RLJ,2018,6000000.0,1214525.0,1427656.0,213131.0,tt4995858
Mandy,RLJ,2018,6000000.0,1214525.0,1427656.0,213131.0,tt6998518
Lean on Pete,A24,2018,8000000.0,1163056.0,2455027.0,1291971.0,tt5340300
